step,split,task_loss,reg_loss,topo_drift,condition
0,train,1.1910879611968994,0.0,6.97655356863059,no_reg
1,train,0.7824408411979675,0.0,6.523588897140933,no_reg
2,train,1.9455902576446533,0.0,7.0402306159990395,no_reg
3,train,1.2979992628097534,0.0,6.938927597572891,no_reg
4,train,1.491010069847107,0.0,6.71581413889483,no_reg
5,train,2.1564152240753174,0.0,7.059230717738915,no_reg
6,train,1.090303659439087,0.0,6.939090013052599,no_reg
7,train,1.4895941019058228,0.0,6.9844289336259475,no_reg
8,train,1.2536545991897583,0.0,6.768789911700377,no_reg
9,train,1.3075237274169922,0.0,7.042828596445371,no_reg
10,train,4.2997517585754395,0.0,7.059089558966293,no_reg
11,train,4.096190452575684,0.0,7.04519984588945,no_reg
12,train,3.578941822052002,0.0,7.068534050855721,no_reg
13,train,3.992516040802002,0.0,7.091512641132143,no_reg
14,train,3.382185697555542,0.0,7.030221411827612,no_reg
15,train,4.903343200683594,0.0,7.090514648516794,no_reg
16,train,4.162774085998535,0.0,7.065886769872265,no_reg
17,train,4.424888610839844,0.0,7.082385178367808,no_reg
18,train,5.097474098205566,0.0,7.067811871540318,no_reg
19,train,3.555779218673706,0.0,7.0684141418198765,no_reg
19,val,2.5457018971443177,0.0,6.987150557597599,no_reg
20,train,2.204760789871216,0.0,7.008406190672445,no_reg
21,train,1.302640438079834,0.0,6.976366626839742,no_reg
22,train,2.441127061843872,0.0,6.907456538827238,no_reg
23,train,1.8989442586898804,0.0,7.017598731272202,no_reg
24,train,2.0029397010803223,0.0,7.001594084673503,no_reg
25,train,1.5036547183990479,0.0,7.015795098287963,no_reg
26,train,1.2310075759887695,0.0,6.94070840964431,no_reg
27,train,1.5896365642547607,0.0,7.0169044480933245,no_reg
28,train,2.0985782146453857,0.0,7.0127487445373635,no_reg
29,train,1.2516123056411743,0.0,6.9793506215488135,no_reg
30,train,2.298400402069092,0.0,6.92190359031466,no_reg
31,train,1.965800166130066,0.0,6.928860040806944,no_reg
32,train,2.6954126358032227,0.0,6.92493922753082,no_reg
33,train,2.8362269401550293,0.0,6.968294850724832,no_reg
34,train,2.6462008953094482,0.0,6.928369182460562,no_reg
35,train,2.7921876907348633,0.0,6.882974773393362,no_reg
36,train,2.4387052059173584,0.0,6.963165775507789,no_reg
37,train,3.6324830055236816,0.0,6.900473672836897,no_reg
38,train,3.2996044158935547,0.0,6.998862918482678,no_reg
39,train,3.1500091552734375,0.0,6.96839429692889,no_reg
39,val,2.331997412443161,0.0,6.988951266125268,no_reg
40,train,0.7352927923202515,0.0,6.999179746464033,no_reg
41,train,0.4844646751880646,0.0,6.586899121967192,no_reg
42,train,1.1993296146392822,0.0,7.048573983385533,no_reg
43,train,0.8578676581382751,0.0,6.920533521209565,no_reg
44,train,0.9413126707077026,0.0,6.721045942435746,no_reg
45,train,1.4062614440917969,0.0,7.065707886424649,no_reg
46,train,0.7792056798934937,0.0,6.9418878564786395,no_reg
47,train,0.9120092391967773,0.0,6.991022751818195,no_reg
48,train,0.7866715788841248,0.0,6.776013436205119,no_reg
49,train,0.9037339091300964,0.0,7.055076838402731,no_reg
50,train,3.705737590789795,0.0,7.064141477390926,no_reg
51,train,3.26096510887146,0.0,7.056293389743739,no_reg
52,train,2.9583544731140137,0.0,7.074963033391163,no_reg
53,train,3.4314756393432617,0.0,7.097124471773441,no_reg
54,train,2.9507033824920654,0.0,7.027249103691815,no_reg
55,train,3.7462289333343506,0.0,7.093224988747226,no_reg
56,train,3.674412488937378,0.0,7.0639790036635866,no_reg
57,train,3.6709094047546387,0.0,7.0845685401974,no_reg
58,train,4.152711868286133,0.0,7.053597426422221,no_reg
59,train,2.9507546424865723,0.0,7.055737869769359,no_reg
59,val,1.9451581999659537,0.0,6.994406968602372,no_reg
60,train,1.5477594137191772,0.0,7.012773477327687,no_reg
61,train,1.0668482780456543,0.0,6.959111876306417,no_reg
